doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
ecom-shopee-co-check,data/ecommerce/ecom-shopee-co-check.md,Chính sách đồng kiểm Shopee,https://help.shopee.vn/portal/4/article/79262,2026-09-20,2024,public-source
return-refund-policy,data/ecommerce/return-refund-policy.md,Chính sách đổi trả và hoàn tiền,https://example.com/policy/returns,2026-09-18,not-stated,public-source
seller-warranty-policy,data/ecommerce/seller-warranty-policy.md,Chính sách bảo hành dành cho người bán,https://example.com/policy/seller-warranty,2026-09-18,not-stated,public-source
shopee-bang-chung-tra-hang,data/ecommerce/shopee-bang-chung-tra-hang.md,[Trả hàng/Hoàn tiền] Hướng dẫn chuẩn bị bằng chứng khi yêu cầu Trả hàng/ Hoàn tiền,https://help.shopee.vn/portal/4/article/79467,2026-09-20,not-stated,public-source
shopee-cam-nang-tra-hang-hoan-tien,data/ecommerce/shopee-cam-nang-tra-hang-hoan-tien.md,[Trả hàng/Hoàn tiền] Cẩm nang Trả hàng hoàn tiền,https://help.shopee.vn/portal/4/article/79258,2026-09-20,not-stated,public-source
shopee-chinh-sach-van-chuyen,data/ecommerce/shopee-chinh-sach-van-chuyen.md,Chính sách vận chuyển Shopee,https://help.shopee.vn/portal/4/article/77250,2026-09-20,not-stated,public-source
shopee-dieu-khoan-dich-vu,data/ecommerce/shopee-dieu-khoan-dich-vu.md,Điều khoản Shopee,https://help.shopee.vn/portal/4/article/77242,2026-09-20,not-stated,public-source
shopee-dong-goi-don-hoan-tra,data/ecommerce/shopee-dong-goi-don-hoan-tra.md,[Trả hàng/Hoàn tiền] Cách đóng gói đơn hàng hoàn trả,https://help.shopee.vn/portal/4/article/79508,2026-09-20,not-stated,public-source
shopee-seller-don-giao-khong-thanh-cong,data/ecommerce/shopee-seller-don-giao-khong-thanh-cong.md,Quản lý đơn hàng giao không thành công,https://help.shopee.vn/portal/1/article/102523,2026-09-20,not-stated,public-source
shopee-seller-quan-ly-don-tra-hang,data/ecommerce/shopee-seller-quan-ly-don-tra-hang.md,Quản lý đơn trả hàng hoàn tiền,https://help.shopee.vn/portal/1/article/102521,2026-09-20,not-stated,public-source
